;HOG;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;int;;;;;;;;;;;;
;input;output;classname;view_classname;title;id;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;GR ассет;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;string;string;int;;;;;;;;;;
;input;output;classname;view_classname;title;description;meta_info;id;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;GR способы получения;;;;;;;;;;;;;;;
temp_01;string;string;ignore;array;array;int;string;string;array;int;;;;;;;;
;input;output;file_name;actions;location_tags;rand_reward.p;rand_reward.asset;conditions;assets;id;;;;;;;;
;;;;;;;;;;;;;;;;;;
;GR ПАКЕТЫ;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;string;string;ignore;int;string;int;;;;;;;;
;input;output;classname;asset;title;reward;Количество ассетов;price;stuff_icon;id;;;;;;;;
;;;;;;;;;;;;;;;;;;
;ASK;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;string;string;string;int;;;;;;;;;
;input;output;classname;view_classname;title;description;meta_info;conditions;id;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;ASK пост экшен;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;string;string;int;int;int;int;;;;;;;;
;input;output;identifier;classname;title;poster_reward;clicks_limit;life_time;send_interval;id;;;;;;;;
;;;;;;;;;;;;;;;;;;
;ASK ПАКЕТЫ;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;string;string;ignore;int;string;int;;;;;;;;
;input;output;classname;asset;title;reward;Количество ассетов;price;stuff_icon;id;;;;;;;;
;;;;;;;;;;;;;;;;;;
;PER;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;string;string;string;int;;;;;;;;;
;input;output;classname;view_classname;title;description;meta_info;conditions;id;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;PER пост экшен;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;string;string;int;int;int;int;;;;;;;;
;input;output;identifier;classname;title;poster_reward;clicks_limit;life_time;send_interval;id;;;;;;;;
;;;;;;;;;;;;;;;;;;
;PER ПАКЕТЫ;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;string;string;ignore;int;string;int;;;;;;;;
;input;output;classname;asset;title;reward;Количество ассетов;price;stuff_icon;id;;;;;;;;
;;;;;;;;;;;;;;;;;;
;FG АССЕТ;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;string;string;string;int;;;;;;;;;
;input;output;classname;view_classname;title;description;meta_info;conditions;id;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;FG МЕХАНИКА;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;int;;;;;;;;;;;;
;input;output;asset_classname;conditions;label;id;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;FG ПАКЕТЫ;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;string;string;ignore;int;string;int;;;;;;;;
;input;output;classname;asset;title;reward;Количество ассетов;price;stuff_icon;id;;;;;;;;
;;;;;;;;;;;;;;;;;;
;R ассет;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;string;string;string;int;;;;;;;;;
;input;output;classname;view_classname;title;description;meta_info;tags.0;id;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Рецепты 4 ингридиента;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;int;array;string;ignore;ignore;ignore;ignore;ignore;ignore;ignore;ignore;string;string;int
;input;output;identifier;;lifespan;tags;ingredients;ingredient_1_asset;ingredient_1_asset_amount;ingredient_2_asset;ingredient_2_asset_amount;ingredient_3_asset;ingredient_3_asset_amount;ingredient_4_asset;ingredient_4_asset_amount;conditions;reward;id
;;;;;;;;;;;;;;;;;;
;FA ассет;;;;;;;;;;;;;;;;;
temp_01;string;string;string;string;string;string;string;string;int;;;;;;;;;
;input;output;classname;view_classname;title;description;meta_info;tags.0;id;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;FA Пакеты;;;;;;;;;;;;;;;;;
temp_01;string;string;string;ignore;string;string;ignore;int;string;int;;;;;;;;
;input;output;classname;asset;title;reward;Количество ассетов;price;stuff_icon;id;;;;;;;;
